05/06/2014,,,ROPERTO
06/06/2014,,,SALUS
07/06/2014,INTERNAZIONALE,DIACO,MALLAMO
08/06/2014,,DIACO,MALLAMO
09/06/2014,,,PETRONIO
10/06/2014,,,CAPUTI
11/06/2014,,,DE SANDO
12/06/2014,,,SALUS
13/06/2014,,,MALLAMO
14/06/2014,AIELLO,COTRONEO,PETRONIO
15/06/2014,,COTRONEO,PETRONIO
16/06/2014,,,CAPUTI
17/06/2014,,,DE SANDO
18/06/2014,,,SALUS
19/06/2014,,,MALLAMO
20/06/2014,,,PETRONIO
21/06/2014,FREZZA,ROPERTO,CAPUTI
22/06/2014,,ROPERTO,CAPUTI
23/06/2014,,,DE SANDO
24/06/2014,,,SALUS
25/06/2014,,,MALLAMO
26/06/2014,,,PETRONIO
27/06/2014,,,CAPUTI
28/06/2014,PARISE,FURCI,DE SANDO
29/06/2014,,FURCI,DE SANDO
30/06/2014,,,SALUS
01/07/2014,,,MALLAMO
02/07/2014,,,PETRONIO
03/07/2014,,,INTERNAZIONALE
04/07/2014,,,DE SANDO
05/07/2014,RASPA,DI CELLO,SALUS
06/07/2014,,DI CELLO,SALUS
07/07/2014,,,MALLAMO
08/07/2014,,,PETRONIO
09/07/2014,,,CAPUTI
10/07/2014,,,CAPUTI
11/07/2014,,,FREZZA
12/07/2014,RASPA,MALLAMO,FEROLETO
13/07/2014,,MALLAMO,FEROLETO
14/07/2014,,,RASPA
15/07/2014,,,FREZZA
16/07/2014,,,FEROLETO
17/07/2014,,,PARISE
18/07/2014,,,DIACO
19/07/2014,PARISE,CAPUTI,DIACO
20/07/2014,,CAPUTI,DIACO
21/07/2014,,,FREZZA
22/07/2014,,,ROPERTO
23/07/2014,,,DIACO
24/07/2014,,,RASPA
25/07/2014,,,FEROLETO
26/07/2014,ROPERTO,SALUS,FREZZA
27/07/2014,,SALUS,FREZZA
28/07/2014,,,PARISE
29/07/2014,,,DIACO
30/07/2014,,,ROPERTO
31/07/2014,,,FEROLETO
01/08/2014,,,RASPA
02/08/2014,COTRONEO,DE SANDO,PARISE
03/08/2014,,DE SANDO,PARISE
04/08/2014,,,AIELLO
05/08/2014,,,DI CELLO
06/08/2014,,,INTERNAZIONALE
07/08/2014,,,ROPERTO
08/08/2014,,,PARISE
09/08/2014,FURCI,PETRONIO,RASPA
10/08/2014,,PETRONIO,RASPA
11/08/2014,,,COTRONEO
12/08/2014,,,DE SANDO
13/08/2014,,,FURCI
14/08/2014,,,COTRONEO
15/08/2014,,PETRONIO,FURCI
16/08/2014,DI CELLO,MALLAMO,INTERNAZIONALE
17/08/2014,,MALLAMO,INTERNAZIONALE
18/08/2014,,,MALLAMO
19/08/2014,,,FURCI
20/08/2014,,,DI CELLO
21/08/2014,,,AIELLO
22/08/2014,,,COTRONEO
23/08/2014,INTERNAZIONALE,SALUS,AIELLO
24/08/2014,,SALUS,AIELLO
25/08/2014,,,COTRONEO
26/08/2014,,,DI CELLO
27/08/2014,,,INTERNAZIONALE
28/08/2014,,,FURCI
29/08/2014,,,AIELLO
30/08/2014,AIELLO,DE SANDO,COTRONEO
31/08/2014,,DE SANDO,COTRONEO
01/09/2014,,CAPUTI,FEROLETO
02/09/2014,,,PARISE
03/09/2014,,,AIELLO
04/09/2014,,,DI CELLO
05/09/2014,,,ROPERTO
06/09/2014,FREZZA,CAPUTI,ROPERTO
07/09/2014,,CAPUTI,ROPERTO
08/09/2014,,,DIACO
09/09/2014,,,RASPA
10/09/2014,,,FREZZA
11/09/2014,,,INTERNAZIONALE
12/09/2014,,,FURCI
13/09/2014,DI CELLO,PETRONIO,FURCI
14/09/2014,,PETRONIO,FURCI
15/09/2014,,,COTRONEO
16/09/2014,,,FEROLETO
17/09/2014,,,PARISE
18/09/2014,,,AIELLO
19/09/2014,,,DI CELLO
20/09/2014,FEROLETO,MALLAMO,DI CELLO
21/09/2014,,MALLAMO,DI CELLO
22/09/2014,,,ROPERTO
23/09/2014,,,DIACO
24/09/2014,,,RASPA
25/09/2014,,,FREZZA
26/09/2014,,,MALLAMO
