04/06/2015,,,MALLAMO
05/06/2015,,,PETRONIO
06/06/2015,ROPERTO,PARISE,CAPUTI
07/06/2015,,PARISE,CAPUTI
08/06/2015,,,DE SANDO
09/06/2015,,,SALUS
10/06/2015,,,MALLAMO
11/06/2015,,,PETRONIO
12/06/2015,,,FEROLETO
13/06/2015,FURCI,DE SANDO,RASPA
14/06/2015,,DE SANDO,RASPA
15/06/2015,,,FREZZA
16/06/2015,,,INTERNAZIONALE
17/06/2015,,,FURCI
18/06/2015,,,COTRONEO
19/06/2015,,,ROPERTO
20/06/2015,SALUS,DI CELLO,FEROLETO
21/06/2015,,SALUS,FEROLETO
22/06/2015,,,PARISE
23/06/2015,,,AIELLO
24/06/2015,,,DI CELLO
25/06/2015,,,RASPA
26/06/2015,,,DIACO
27/06/2015,MALLAMO,INTERNAZIONALE,DIACO
28/06/2015,,MALLAMO,DIACO
29/06/2015,,,ROPERTO
30/06/2015,,,FREZZA
01/07/2015,,,INTERNAZIONALE
02/07/2015,,,FURCI
03/07/2015,,,COTRONEO
04/07/2015,PETRONIO,PARISE,COTRONEO
05/07/2015,,PETRONIO,COTRONEO
06/07/2015,,,FEROLETO
07/07/2015,,,PARISE
08/07/2015,,,AIELLO
09/07/2015,,,DI CELLO
10/07/2015,,,ROPERTO
11/07/2015,CAPUTI,FURCI,RASPA
12/07/2015,,CAPUTI,RASPA
13/07/2015,,,DIACO
14/07/2015,,,RASPA
15/07/2015,,,COTRONEO
16/07/2015,,,DI CELLO
17/07/2015,,,FURCI
18/07/2015,DE SANDO,AIELLO,FURCI
19/07/2015,,DE SANDO,FURCI
20/07/2015,,,COTRONEO
21/07/2015,,,AIELLO
22/07/2015,,,DIACO
23/07/2015,,,AIELLO
24/07/2015,,,DI CELLO
25/07/2015,SALUS,RASPA,DI CELLO
26/07/2015,,SALUS,DI CELLO
27/07/2015,,,FURCI
28/07/2015,,,DIACO
29/07/2015,,,RASPA
30/07/2015,,,DIACO
31/07/2015,,,AIELLO
01/08/2015,MALLAMO,FEROLETO,INTERNAZIONALE
02/08/2015,,MALLAMO,INTERNAZIONALE
03/08/2015,,,FURCI
04/08/2015,,,COTRONEO
05/08/2015,,,ROPERTO
06/08/2015,,,FREZZA
07/08/2015,,,INTERNAZIONALE
08/08/2015,PETRONIO,DIACO,AIELLO
09/08/2015,,PETRONIO,AIELLO
10/08/2015,,,DICELLO
11/08/2015,,,ROPERTO
12/08/2015,,,INTERNAZIONALE
13/08/2015,,,FEROLETO
14/08/2015,,,PARISE
15/08/2015,,CAPUTI,FREZZA
16/08/2015,,CAPUTI,FREZZA
17/08/2015,,,INTERNAZIONALE
18/08/2015,,,PARISE
19/08/2015,,,ROPERTO
20/08/2015,,,FEROLETO
21/08/2015,,,FREZZA
22/08/2015,DE SANDO,ROPERTO,PARISE
23/08/2015,,DE SANDO,PARISE
24/08/2015,,,FEROLETO
25/08/2015,,,FREZZA
26/08/2015,,,ROPERTO
27/08/2015,,,PARISE
28/08/2015,,,DE SANDO
29/08/2015,FREZZA,ROPERTO,SALUS
30/08/2015,,ROPERTO,SALUS
31/08/2015,,,MALLAMO
01/09/2015,,,PETRONIO
02/09/2015,,,CAPUTI
03/09/2015,,,DE SANDO
04/09/2015,,,SALUS
05/09/2015,DI CELLO,FEROLETO,MALLAMO
06/09/2015,,FEROLETO,MALLAMO
07/09/2015,,,PETRONIO
08/09/2015,,,CAPUTI
09/09/2015,,,DE SANDO
10/09/2015,,,SALUS
11/09/2015,,,MALLAMO
12/09/2015,INTERNAZIONALE,DIACO,PETRONIO
13/09/2015,,DIACO,PETRONIO
14/09/2015,,,CAPUTI
15/09/2015,,,DE SANDO
16/09/2015,,,SALUS
17/09/2015,,,MALLAMO
18/09/2015,,,PETRONIO
19/09/2015,AIELLO,COTRONEO,CAPUTI
20/09/2015,,COTRONEO,CAPUTI
21/09/2015,,,DE SANDO
22/09/2015,,,SALUS
23/09/2015,,,MALLAMO
24/09/2015,,,PETRONIO
25/09/2015,,,CAPUTI
26/09/2015,FREZZA,ROPERTO,DE SANDO
27/09/2015,,ROPERTO,DE SANDO
28/09/2015,,,SALUS
29/09/2015,,,MALLAMO
30/09/2015,,,PETRONIO
01/10/2015,,,DI CELLO
02/10/2015,,,ROPERTO
03/10/2015,,,DIACO
04/10/2015,,,PARISE
05/10/2015,FURCI,RASPA,MALLAMO
06/10/2015,,RASPA,MALLAMO
07/10/2015,,,FREZZA
08/10/2015,,,INTERNAZIONALE
09/10/2015,,,FURCI
10/10/2015,,,COTRONEO
11/10/2015,,,FEROLETO
12/10/2015,DI CELLO,FEROLETO,PETRONIO
13/10/2015,,FEROLETO,PETRONIO
14/10/2015,,,PARISE
15/10/2015,,,AIELLO
16/10/2015,,,DI CELLO
17/10/2015,,,DE SANDO
18/10/2015,DIACO,PARISE,SALUS
19/10/2015,,PARISE,SALUS
20/10/2015,,,INTERNAZIONALE
21/10/2015,,,PETRONIO
22/10/2015,,,CAPUTI
23/10/2015,,,DE SANDO
24/10/2015,,,SALUS
25/10/2015,FURCI,RASPA,MALLAMO
26/10/2015,,RASPA,MALLAMO
27/10/2015,,,PETRONIO
28/10/2015,,,CAPUTI
29/10/2015,,,DE SANDO
30/10/2015,,,SALUS
31/10/2015,,,FEROLETO
01/11/2015,DI CELLO,PETRONIO,FEROETO
02/11/2015,,PETRONIO,FEROETO
03/11/2015,,,PARISE
04/11/2015,,,AIELLO
05/11/2015,,,DI CELLO
06/11/2015,,,ROPERTO
07/11/2015,,,DIACO
08/11/2015,INTERNAZIONALE,CAPUTI,DIACO
09/11/2015,,CAPUTI,DIACO
10/11/2015,,,RASPA
11/11/2015,,,FREZZA
12/11/2015,,,INTERNAZIONALE
13/11/2015,,,FURCI
14/11/2015,,,COTRONEO
15/11/2015,AIELLO,DE SANDO,COTRONEO
16/11/2015,,DE SANDO,COTRONEO
17/11/2015,,,FEROETO
18/11/2015,,,PARISE
19/11/2015,,,AIELLO
20/11/2015,,,DI CELLO
21/11/2015,,,ROPERTO
22/11/2015,FREZZA,SALUS,ROPERTO
23/11/2015,,SALUS,ROPERTO
24/11/2015,,,DIACO
25/11/2015,,,RASPA
26/11/2015,,,FREZZA
27/11/2015,,,INTERNAZIONALE
28/11/2015,,,FURCI
29/11/2015,PARISE,MALLAMO,FURCI
30/11/2015,,MALLAMO,FURCI
